index,function name,RMSE
wiener,logarithm,26.318
sum_connectivity,modified_power,18.029
randic,modified_power,20.268
balaban,logarithm,31.166
szeged,modified_power,18.417
revised szeged,modified_power,17.517
detour,modified_power,15.682
harary,polynomial 2,20.736
path_walk_ratio 1.1,polynomial 2,25.672
path_walk_ratio 1.2,polynomial 2,28.878
path_walk_ratio 2.1,polynomial 2,88.338
path_walk_ratio 2.2,polynomial 2,76.266
estrada 2,polynomial 2,17.826
estrada 4,polynomial 2,27.526
markov 2,modified_power,26.992
markov 4,modified_power,32.838
wiener_hosoya,logarithm,25.863
line estrada 2,logarithm,28.405
line estrada 4,logarithm,41.253
hosoya,logarithm,27.754
