index,function name,RMSE
wiener,modified_power,11.955
sum_connectivity,polynomial 2,14.486
randic,polynomial 2,14.483
balaban,modified_power,12.441
szeged,modified_power,11.955
revised szeged,modified_power,11.955
detour,modified_power,11.955
harary,polynomial 2,19.104
path_walk_ratio 1.1,polynomial 2,15.865
path_walk_ratio 1.2,polynomial 2,16.104
path_walk_ratio 2.1,polynomial 2,62.186
path_walk_ratio 2.2,polynomial 2,56.511
estrada 2,polynomial 2,15.242
estrada 4,polynomial 2,16.952
markov 2,polynomial 2,13.962
markov 4,polynomial 2,17.337
wiener_hosoya,modified_power,38.405
line estrada 2,modified_power,13.791
line estrada 4,modified_power,15.592
