,"Trees without H","Trees with H","Only cycles","All_without H"
"index","RMSE","RMSE","RMSE","RMSE"
"wiener",8.933,11.955,26.318,23.984
"sum_connectivity",7.185,14.486,18.029,12.825
"randic",7.372,14.483,20.268,15.986
"balaban",8.12,12.441,31.166,36.192
"szeged",8.933,11.955,18.417,13.002
"revised szeged",8.933,11.955,17.517,13.229
"detour",8.933,11.955,15.682,13.549
"harary",13.479,19.104,20.736,18.241
"path_walk_ratio 1.1",22.56,15.865,25.672,26.572
"path_walk_ratio 1.2",33.314,16.104,28.878,34.017
"path_walk_ratio 2.1",60.825,62.186,88.338,75.013
"path_walk_ratio 2.2",51.563,56.511,76.266,63.528
"estrada 2",8.597,15.242,17.826,13.102
"estrada 4",25.366,16.952,27.526,27.91
"markov 2",14.026,13.962,26.992,27.944
"markov 4",15.036,17.337,32.838,36.391
"wiener_hosoya",11.09,38.405,25.863,20.72
"line estrada 2",28.936,13.791,28.405,30.293
"line estrada 4",41.406,15.592,41.253,45.133
"hosoya",15.542,"/",27.754,20.981
