index,function name,RMSE
wiener,modified_power,23.984
sum_connectivity,polynomial 2,12.825
randic,polynomial 2,15.986
balaban,modified_power,36.192
szeged,modified_power,13.002
revised szeged,modified_power,13.229
detour,modified_power,13.549
harary,polynomial 2,18.241
path_walk_ratio 1.1,polynomial 2,26.572
path_walk_ratio 1.2,polynomial 2,34.017
path_walk_ratio 2.1,polynomial 2,75.013
path_walk_ratio 2.2,polynomial 2,63.528
estrada 2,polynomial 2,13.102
estrada 4,polynomial 2,27.91
markov 2,modified_power,27.944
markov 4,modified_power,36.391
wiener_hosoya,modified_power,20.72
line estrada 2,modified_power,30.293
line estrada 4,modified_power,45.133
hosoya,logarithm,20.981
